"File","Path","Line","Kind","Name"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","956","assigned function","GRM.ChangePlayerNameInAltGrouping"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","987","assigned function","GRM.GetAltWithOldestJoinDate"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1023","assigned function","GRM.SyncJoinDatesOnAllAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1113","assigned function","GRM.SyncJoinDateUsingEarliest"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1120","assigned function","GRM.SyncJoinDateUsingMain"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1127","assigned function","GRM.SyncJoinDateUsingCurrentSelected"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1134","assigned function","GRM.IsAltJoinDatesSynced"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1170","assigned function","GRM.PlayerOrAltHasJD"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1203","assigned function","GRM.PopulateAltFrames"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1421","assigned function","GRM.GetSortedAltNamesWithDetails"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1544","assigned function","GRM.GetAltTag"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1556","assigned function","GRM.AddAltAutoComplete"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1634","assigned function","GRM.KickAllAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1722","assigned function","GRM.SetBirthdayForAltGrouping"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1787","assigned function","GRM.ResetBirthdayForAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","1888","assigned function","GRM.SyncBirthdayWithNewAlt"
"GRM_AltsImport.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltsImport.lua","32","assigned function","GRM.ExportMainTagToNotes"
"GRM_AltsImport.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltsImport.lua","38","assigned function","GRM.ExportAltTagToNotes"
"GRM_AltsImport.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltsImport.lua","44","assigned function","GRM.ImportAllMains"
"GRM_AltsImport.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltsImport.lua","48","assigned function","GRM.ImportAllAlts"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","40","assigned function","GRM_API.GetMember"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","54","assigned function","GRM_API.GetFormerMember"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","68","assigned function","GRM_API.IsGuildMember"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","80","assigned function","GRM_API.GetMemberAlts"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","179","assigned function","GRM_API.ClearFriendsList"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","188","assigned function","GRM_API.ClearAllOfficerNotes"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","199","assigned function","GRM_API.ClearAllPublicNotes"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","210","assigned function","GRM_API.RestoreAllPublicNotesFromSave"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","229","assigned function","GRM_API.RestoreAllOfficerNotesFromSave"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","251","assigned function","GRM_API.RestoreAllPublicNotes"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","296","assigned function","GRM_API.SetAllUnlinkedPlayersToMain"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","315","assigned function","GRM_API.SetAllUnknownPromoteDates"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","353","assigned function","GRM_API.SetAllUnknownJoinDates"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","387","assigned function","GRM_API.ClearAllUnverifiedPromoteDates"
"GRM_API.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_API.lua","406","assigned function","GRM_API.RollBackToVerifiedPromotionDatesOnly"
